hits,title,year,authors,key,ee,venue_category
553,Hierarchical adaptive Multi-objective resource management for many-core systems.,2019,André Luís Del Mestre Martins & Alzemiro Henrique Lucas da Silva & Amir M. Rahmani & Nikil D. Dutt & Fernando Gehm Moraes,journals/jsa/MartinsSRDM19,https://doi.org/10.1016/j.sysarc.2019.01.006,Software_Architecture
548,Fuzzy-based Adaptive Routing Algorithm for Networks-on-Chip.,2013,Masoumeh Ebrahimi & Hannu Tenhunen & Masoud Dehyadegari,journals/jsa/EbrahimiTD13,https://doi.org/10.1016/j.sysarc.2013.03.006,Software_Architecture
1855,Efficient Utility-Driven Self-Healing Employing Adaptation Rules for Large Dynamic Architectures.,2017,Sona Ghahremani & Holger Giese & Thomas Vogel 0001,conf/icac/GhahremaniG017,https://doi.org/10.1109/ICAC.2017.35,Self-Adaptive_Systems
1936,Quantitative Verification-Aided Machine Learning: A Tandem Approach for Architecting Self-Adaptive IoT Systems.,2020,Javier Cámara & Henry Muccini & Karthik Vaidhyanathan,conf/icsa/CamaraMV20,https://doi.org/10.1109/ICSA47634.2020.00010,Software_Architecture
1929,ActivFORMS: A Runtime Environment for Architecture-Based Adaptation with Guarantees.,2017,M. Usman Iftikhar & Danny Weyns,conf/icsa/IftikharW17,https://doi.org/10.1109/ICSAW.2017.21,Software_Architecture
1913,Risk-based adaptive authentication for internet of things in smart home eHealth.,2017,Mattias T. Gebrie & Habtamu Abie,conf/ecsa/GebrieA17,https://doi.org/10.1145/3129790.3129801,Software_Architecture
350,The Raincouver Scene Parsing Benchmark for Self-Driving in Adverse Weather and at Night.,2017,Frederick Tung & Jianhui Chen & Lili Meng & James J. Little,journals/ral/TungCML17,https://doi.org/10.1109/LRA.2017.2723926,Robotics
871,Aerial Grasping Based on Shape Adaptive Transformation by HALO: Horizontal Plane Transformable Aerial Robot with Closed-Loop Multilinks Structure.,2018,Tomoki Anzai & Moju Zhao & Shunichi Nozawa & Fan Shi & Kei Okada & Masayuki Inaba,conf/icra/AnzaiZNSOI18,https://doi.org/10.1109/ICRA.2018.8460928,Robotics
1859,Self-Managed Component-Based Software Architecture for Business Process Management.,2015,Bassem Debbabi & Thomas Calmant & Olivier Gattaz & Sandra Massonnat & Patrick Emin,conf/icac/DebbabiCGME15,https://doi.org/10.1109/ICAC.2015.25,Self-Adaptive_Systems
996,Real-time distributed configuration discovery of modular self-reconfigurable robots.,2015,José Baca & Bradley Woosley & Prithviraj Dasgupta & Carl A. Nelson,conf/icra/BacaWDN15,https://doi.org/10.1109/ICRA.2015.7139449,Robotics
898,Adaptive image-based visual servoing of wheeled mobile robots with fixed camera configuration.,2014,Xinwu Liang & Hesheng Wang 0001 & Weidong Chen 0001,conf/icra/LiangWC14,https://doi.org/10.1109/ICRA.2014.6907773,Robotics
1533,Improving control precision and motion adaptiveness for surgical robot with recurrent neural network.,2017,Yangming Li & Shuai Li 0002 & David E. Caballero & Muneaki Miyasaka & Andrew Lewis & Blake Hannaford,conf/iros/LiLCMLH17,https://doi.org/10.1109/IROS.2017.8206197,Robotics
545,PMSort: An adaptive sorting engine for persistent memory.,2021,Yifan Hua & Kaixin Huang & Shengan Zheng & Linpeng Huang,journals/jsa/HuaHZH21,https://doi.org/10.1016/j.sysarc.2021.102279,Software_Architecture
1909,Towards Run-Time Verification of Adaptive Security for IoT in eHealth.,2014,Arild B. Torjusen & Habtamu Abie & Ebenezer Paintsil & Denis Trcek & Åsmund Skomedal,conf/ecsa/TorjusenAPTS14,https://doi.org/10.1145/2642803.2642807,Software_Architecture
586,Modeling and efficient solving of extra-functional properties for adaptation in networked embedded real-time systems.,2013,Marc Zeller & Christian Prehofer,journals/jsa/ZellerP13,https://doi.org/10.1016/j.sysarc.2012.11.003,Software_Architecture
589,Lightweight formalisation of adaptive middleware.,2019,Nelson S. Rosa & Glaucia Melissa Medeiros Campos & David Junio Mota Cavalcanti,journals/jsa/RosaCC19,https://doi.org/10.1016/j.sysarc.2018.12.002,Software_Architecture
539,An adaptive IoT platform on budgeted 3G data plans.,2019,Mahmudur Rahman Hera & Amatur Rahman & Hua-Jun Hong & Li-Wen Pan & Md. Yusuf Sarwar Uddin & Nalini Venkatasubramanian & Cheng-Hsin Hsu,journals/jsa/HeraRHPUVH19,https://doi.org/10.1016/j.sysarc.2018.11.002,Software_Architecture
1799,Architecture-based Evaluation of Scaling Policies for Cloud Applications.,2021,Floriment Klinaku & Mir Alireza Hakamian & Steffen Becker 0001,conf/acsos/KlinakuHB21,https://doi.org/10.1109/ACSOS52086.2021.00035,Self-Adaptive_Systems
1179,Towards a Self-Adaptive Architecture for Federated Learning of Industrial Automation Systems.,2021,Nicola Franco & Hoai My Van & Marc Dreiser & Gereon Weiss,conf/seams/FrancoVDW21,https://doi.org/10.1109/SEAMS51251.2021.00035,Self-Adaptive_Systems
1846,Towards a Generic Architecture and Methodology for Multi-goal; Highly-distributed and Dynamic Autonomic Systems.,2013,Sylvain Frey & Ada Diaconescu & David Menga & Isabelle M. Demeure,conf/icac/FreyDMD13,https://www.usenix.org/conference/icac13/technical-sessions/presentation/frey,Self-Adaptive_Systems
759,Adaptive rectangular cuboids for 3D mapping.,2015,Sheraz Khan 0001 & Dirk Wollherr & Martin Buss,conf/icra/KhanWB15,https://doi.org/10.1109/ICRA.2015.7139480,Robotics
1788,A Dynamic Software Product Line Architecture for Prepackaged Expert Analytics: Enabling Efficient Capture; Reuse and Adaptation of Operational Knowledge.,2014,Karen Smiley & Shakeel Mahate & Paul Wood,conf/wicsa/SmileyMW14,https://doi.org/10.1109/WICSA.2014.11,Software_Architecture
424,A Hierarchical Architecture for Human-Robot Cooperation Processes.,2021,Kourosh Darvish & Enrico Simetti & Fulvio Mastrogiovanni & Giuseppe Casalino,journals/trob/DarvishSMC21,https://doi.org/10.1109/TRO.2020.3033715,Robotics
