hits,title,year,authors,key,ee,venue_category
571,Run-time adaptive data page mapping: A Comparison with 3D-stacked DRAM cache.,2020,Rakesh Pandey & Aryabartta Sahu,journals/jsa/PandeyS20,https://doi.org/10.1016/j.sysarc.2020.101798,Software_Architecture
465,Digital architecture and robotic construction.,2017,,journals/scirobotics/X17b,https://doi.org/10.1126/scirobotics.aan3673,Robotics
1886,Architectural Tactics for Energy-Aware Robotics Software: A Preliminary Study.,2021,Katerina Chinnappan & Ivano Malavolta & Grace A. Lewis & Michel Albonico & Patricia Lago,conf/ecsa/ChinnappanMLAL21,https://doi.org/10.1007/978-3-030-86044-8_11,Software_Architecture
1807,Towards High-Quality Battery Life for Autonomous Mobile Robot Fleets.,2022,Akshar Shravan Chavan & Marco Brocanelli,conf/acsos/ChavanB22,https://doi.org/10.1109/ACSOS55765.2022.00024,Self-Adaptive_Systems
1965,Toward Systematic Conveying of Architecture Design Knowledge for Self-Adaptive Systems.,2013,Sandro Santos Andrade & Raimundo José de Araújo Macêdo,conf/saso/AndradeM13a,https://doi.org/10.1109/SASOW.2013.13,Self-Adaptive_Systems
1795,Architecture for a Dynamic Security Service Function Chain Reordering Framework.,2020,Lukas Iffländer & Hayreddin Ciner & Nicolas Fella & Samuel Kounev & Nishant Rawtani & Klaus-Dieter Lange,conf/acsos/IfflanderCFKRL20,https://doi.org/10.1109/ACSOS-C51401.2020.00064,Self-Adaptive_Systems
1852,On the design of decentralized control architectures for workload consolidation in large-scale server clusters.,2012,Rui Wang & Nagarajan Kandasamy,conf/icac/WangK12,https://doi.org/10.1145/2371536.2371558,Self-Adaptive_Systems
560,Hardware transactional memory architecture with adaptive version management for multi-processor FPGA platforms.,2017,Jeevan Sirkunan & Chia Yee Ooi & Nasir Shaikh-Husin & Yuan Wen Hau & Muhammad N. Marsono,journals/jsa/SirkunanOSHM17,https://doi.org/10.1016/j.sysarc.2016.12.006,Software_Architecture
1947,Architectural Styles for Adaptive Systems: A Tutorial.,2012,Luciano Baresi & Sam Guinea,conf/saso/BaresiG12,https://doi.org/10.1109/SASO.2012.38,Self-Adaptive_Systems
555,Scenario-based run-time adaptive MPSoC systems.,2016,Wei Quan & Andy D. Pimentel,journals/jsa/QuanP16,https://doi.org/10.1016/j.sysarc.2015.11.004,Software_Architecture
55,Performance; Precision; and Payloads: Adaptive Nonlinear MPC for Quadrotors.,2022,Drew Hanover & Philipp Foehn & Sihao Sun & Elia Kaufmann & Davide Scaramuzza 0001,journals/ral/HanoverFSKS22,https://doi.org/10.1109/LRA.2021.3131690,Robotics
1883,Understanding the user in self-managing systems.,2015,Markus Wallmyr,conf/ecsa/Wallmyr15,https://doi.org/10.1145/2797433.2797438,Software_Architecture
