hits,title,year,authors,key,ee,venue_category
1197,A new extension of desired compensation adaptive control and its real-time application to redundantly actuated PKMs.,2014,Moussâb Bennehar & Ahmed Chemori & François Pierrot,conf/iros/BenneharCP14,https://doi.org/10.1109/IROS.2014.6942779,Robotics
584,Trustworthy self-optimization for organic computing environments using multiple simultaneous requests.,2017,Nizar Msadek & Theo Ungerer,journals/jsa/MsadekU17,https://doi.org/10.1016/j.sysarc.2017.03.003,Software_Architecture
1958,Robotics for Self-Organised Construction.,2016,Victor Gerling & Sebastian von Mammen,conf/saso/GerlingM16,https://doi.org/10.1109/FAS-W.2016.45,Self-Adaptive_Systems
1459,Direction-Aware Adaptive Online Neural Speech Enhancement with an Augmented Reality Headset in Real Noisy Conversational Environments.,2022,Kouhei Sekiguchi & Aditya Arie Nugraha & Yicheng Du & Yoshiaki Bando & Mathieu Fontaine 0002 & Kazuyoshi Yoshii,conf/iros/SekiguchiNDB0Y22,https://doi.org/10.1109/IROS47612.2022.9981659,Robotics
1967,Towards Simulating Architectural Patterns for Self-Aware and Self-Adaptive Systems.,2012,Dhaminda B. Abeywickrama & Franco Zambonelli & Nicklas Hoch,conf/saso/AbeywickramaZH12,https://doi.org/10.1109/SASOW.2012.31,Self-Adaptive_Systems
1942,Self-Adapting Model-Based SDSec For IoT Networks Using Machine Learning.,2021,Hrishikesh Narayanankutty,conf/icsa/Narayanankutty21,https://doi.org/10.1109/ICSA-C52384.2021.00023,Software_Architecture
1797,A Deep Domain-Specific Model Framework for Self-Reproducing Robotic Control Systems.,2020,Wanqi Zhao & Uwe Aßmann,conf/acsos/ZhaoA20,https://doi.org/10.1109/ACSOS-C51401.2020.00067,Self-Adaptive_Systems
1931,Architecting Trustworthy Self-Adaptive Systems (Tutorial).,2019,Radu Calinescu & Danny Weyns & Simos Gerasimou & Ibrahim Habli,conf/icsa/CalinescuWGH19,https://doi.org/10.1109/ICSA-C.2019.00008,Software_Architecture
1972,Self-Stabilizing Robot Team Formation with Proto: IEEE Self-Adaptive and Self-Organizing Systems 2012 Demo Entry.,2012,Jacob Beal & Jeffrey Cleveland & Kyle Usbeck,conf/saso/BealCU12,https://doi.org/10.1109/SASO.2012.43,Self-Adaptive_Systems
655,A framework for efficient teleoperation via online adaptation.,2017,Xuning Yang & Koushil Sreenath & Nathan Michael,conf/icra/YangSM17,https://doi.org/10.1109/ICRA.2017.7989701,Robotics
