hits,title,year,authors,key,ee,venue_category
1955,Realizing a Proactive; Self-Optimizing System Behavior within Adaptive; Heterogeneous Many-Core Architectures.,2012,David Kramer & Wolfgang Karl,conf/saso/KramerK12,https://doi.org/10.1109/SASO.2012.26,Self-Adaptive_Systems
1951,A Testing Scheme for Self-Adaptive Software Systems with Architectural Runtime Models.,2015,Joachim Hänsel & Thomas Vogel 0001 & Holger Giese,conf/saso/HanselVG15,https://doi.org/10.1109/SASOW.2015.27,Self-Adaptive_Systems
569,Dynamic distribution of robot control components under hard realtime constraints - Modeling; experimental results and practical considerations.,2013,Franz Dietrich & Jochen Maaß & Matthias Hagner & Jens Steiner & Ursula Goltz & Annika Raatz,journals/jsa/DietrichMHSGR13,https://doi.org/10.1016/j.sysarc.2012.12.001,Software_Architecture
864,A 2-Dimensional Branch-and-Bound Algorithm for Hand-Eye Self-Calibration of SCARA Robots.,2021,Chengyu Tao & Na Lv & Shanben Chen,conf/icra/TaoLC21,https://doi.org/10.1109/ICRA48506.2021.9561696,Robotics
1920,Decentralized Self-adaptation in Large-Scaled Systems of Systems.,2020,Daniel Matusek,conf/ecsa/Matusek20,https://doi.org/10.1007/978-3-030-59155-7_3,Software_Architecture
1801,Toward Enabling Self-Protection in the Service Mesh of the Microservice Architecture.,2022,Rami Alboqmi & Sharmin Jahan & Rose F. Gamble,conf/acsos/AlboqmiJG22,https://doi.org/10.1109/ACSOSC56246.2022.00047,Self-Adaptive_Systems
421,IMU Self-Calibration Using Factorization.,2013,Myung Hwangbo & Jun-Sik Kim 0001 & Takeo Kanade,journals/trob/HwangboKK13,https://doi.org/10.1109/TRO.2012.2230994,Robotics
260,A Self-Adaptive Motion Scaling Framework for Surgical Robot Remote Control.,2019,Dandan Zhang & Bo Xiao 0002 & Baoru Huang & Lin Zhang 0021 & Jindong Liu & Guang-Zhong Yang,journals/ral/ZhangXH0LY19,https://doi.org/10.1109/LRA.2018.2890200,Robotics
642,Toward Robust and Efficient Online Adaptation for Deep Stereo Depth Estimation.,2021,Milo Knowles & Valentin Peretroukhin & W. Nicholas Greene & Nicholas Roy,conf/icra/KnowlesPGR21,https://doi.org/10.1109/ICRA48506.2021.9562012,Robotics
725,Generation of adaptive splitbelt treadmill walking of a biped robot using learning of intralimb and interlimb coordinations.,2014,Soichiro Fujiki & Shinya Aoi & Kei Senda & Kazuo Tsuchiya,conf/icra/FujikiAST14,https://doi.org/10.1109/ICRA.2014.6907191,Robotics
